id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id,political_axis,political_weight,political_interpretation,score_inversion
lng_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les arrondissements de Longueuil.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,18,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Longueuil devrait investir plus dans les parcs, arénas et terrains de sport d'arrondissement.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,19,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q2_pistes_cyclables,"La Ville de Longueuil devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,2,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q20_protection_patrimoine,"La Ville de Longueuil devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine de banlieue, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,20,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville de Longueuil, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,4,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q5_quotas_logements_abordables,La Ville de Longueuil devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,5,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q6_reduction_depenses_taxes,La Ville de Longueuil devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,6,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés à Longueuil pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,7,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q8_interdire_essence_centre_ville,La Ville de Longueuil devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,8,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_q9_protection_espaces_verts,"La Ville de Longueuil devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,9,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
lng_transport_metropolitain,"La Ville de Longueuil devrait investir davantage dans l'amélioration du transport collectif métropolitain vers Montréal (métro, autobus, REM), même si cela nécessite d'augmenter les taxes municipales.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au transport métropolitain face aux contraintes budgétaires municipales.,standard,"[""FA"", ""PA"", ""N"", ""PD"", ""FD"", ""IDK""]","[5, 4, 3, 2, 1]",,,,1,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil,neutral,1.00,neutral,false
